,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,43,18,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,25,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx4y1;Tx4y0;Tx3y1;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1;Tx3y0;Tx2y2,14
index,36,12,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx1y3;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1,15
index,37,13,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,16
index,39,15,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,17
index,41,17,2,2,Tx1y3;Tx3y1,2,Tx1y3;Tx3y1,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,18
index,40,16,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx1y3;Tx1y4;Tx4y2;Tx1y1;Tx4y0,19
index,40,16,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y0;Tx1y0;Tx0y4;Tx4y4;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,20
index,40,16,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,24,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,21
index,42,18,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,24,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,22
index,42,18,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,23
index,46,17,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,29,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,24
