,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
3,3,2,1,577.0,23
4,4,2,2,566.0,23
5,5,2,3,552.0,23
6,6,2,4,543.0,23
7,7,2,5,530.0,23
8,8,2,6,518.0,23
9,9,3,6,500.0,23
10,10,3,7,489.0,23
11,11,4,7,485.0,23
12,12,4,8,466.0,23
13,13,5,8,458.0,23
14,14,6,8,450.0,23
15,15,6,9,447.0,23
16,16,6,10,429.0,23
17,17,7,10,424.0,23
18,18,8,10,414.0,23
19,19,8,11,411.0,23
20,20,9,11,398.0,23
21,21,9,12,389.0,23
22,22,9,13,383.0,23
23,23,9,14,361.0,23
24,24,9,15,345.0,23
25,25,9,16,334.0,23
26,26,9,17,315.0,23
27,27,9,18,288.0,23
28,28,10,18,275.0,23
29,29,11,18,257.0,23
30,30,11,19,246.0,23
31,31,12,19,239.0,23
32,32,13,19,233.0,23
33,33,13,20,226.0,23
34,34,13,21,213.0,23
35,35,14,21,207.0,23
36,36,15,21,195.0,23
37,37,15,22,176.0,23
38,38,16,22,163.0,23
39,39,16,23,162.0,23
40,40,17,23,148.0,23
41,41,17,24,142.0,23
42,42,18,24,135.0,23
0,0,0,0,599.0,24
1,1,1,0,590.0,24
2,2,1,1,584.0,24
3,3,2,1,578.0,24
4,4,2,2,567.0,24
5,5,2,3,553.0,24
6,6,2,4,542.0,24
7,7,2,5,533.0,24
8,8,2,6,520.0,24
9,9,2,7,489.0,24
10,10,3,7,482.0,24
11,11,4,7,469.0,24
12,12,4,8,468.0,24
13,13,4,9,450.0,24
14,14,5,9,443.0,24
15,15,6,9,435.0,24
16,16,6,10,427.0,24
17,17,6,11,412.0,24
18,18,7,11,404.0,24
19,19,8,11,393.0,24
20,20,8,12,392.0,24
21,21,8,13,385.0,24
22,22,9,13,371.0,24
23,23,9,14,364.0,24
24,24,9,15,347.0,24
25,25,9,16,335.0,24
26,26,9,17,319.0,24
27,27,9,18,298.0,24
28,28,10,18,287.0,24
29,29,11,18,258.0,24
30,30,11,19,244.0,24
31,31,11,20,224.0,24
32,32,12,20,221.0,24
33,33,12,21,212.0,24
34,34,12,22,178.0,24
35,35,13,22,171.0,24
36,36,13,23,165.0,24
37,37,14,23,152.0,24
38,38,14,24,146.0,24
39,39,15,24,129.0,24
40,40,15,25,109.0,24
41,41,15,26,82.0,24
42,42,15,27,59.0,24
43,43,16,27,44.0,24
44,44,16,28,38.0,24
45,45,17,28,22.0,24
46,46,17,29,15.0,24
