,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
12,12,5,7,491.0,5
13,13,6,7,477.0,5
14,14,6,8,469.0,5
15,15,6,9,449.0,5
16,16,7,9,447.0,5
17,17,8,9,437.0,5
18,18,8,10,426.0,5
19,19,8,11,412.0,5
20,20,9,11,400.0,5
21,21,9,12,394.0,5
22,22,9,13,388.0,5
23,23,10,13,385.0,5
24,24,10,14,367.0,5
25,25,10,15,353.0,5
26,26,10,16,340.0,5
27,27,10,17,323.0,5
28,28,11,17,310.0,5
29,29,11,18,295.0,5
30,30,12,18,275.0,5
31,31,12,19,244.0,5
32,32,12,20,229.0,5
33,33,12,21,217.0,5
34,34,13,21,199.0,5
35,35,14,21,179.0,5
36,36,14,22,178.0,5
37,37,15,22,173.0,5
38,38,16,22,164.0,5
39,39,16,23,163.0,5
40,40,16,24,106.0,5
41,41,16,25,23.0,5
0,0,0,0,599.0,6
1,1,1,0,590.0,6
2,2,2,0,588.0,6
3,3,2,1,584.0,6
4,4,2,2,567.0,6
5,5,3,2,554.0,6
6,6,3,3,552.0,6
7,7,3,4,539.0,6
8,8,3,5,530.0,6
9,9,3,6,516.0,6
10,10,4,6,507.0,6
11,11,4,7,484.0,6
12,12,5,7,472.0,6
13,13,6,7,463.0,6
14,14,6,8,463.0,6
15,15,6,9,445.0,6
16,16,6,10,422.0,6
17,17,7,10,415.0,6
18,18,7,11,411.0,6
19,19,8,11,400.0,6
20,20,8,12,392.0,6
21,21,8,13,387.0,6
22,22,8,14,365.0,6
23,23,9,14,349.0,6
24,24,9,15,348.0,6
25,25,9,16,335.0,6
26,26,9,17,321.0,6
27,27,9,18,300.0,6
28,28,9,19,250.0,6
29,29,10,19,240.0,6
30,30,10,20,232.0,6
31,31,10,21,219.0,6
32,32,10,22,182.0,6
33,33,11,22,173.0,6
34,34,11,23,168.0,6
35,35,11,24,148.0,6
36,36,11,25,107.0,6
37,37,12,25,83.0,6
38,38,12,26,76.0,6
39,39,12,27,54.0,6
40,40,12,28,4.0,6
0,0,0,0,599.0,7
1,1,1,0,590.0,7
2,2,1,1,586.0,7
3,3,2,1,578.0,7
4,4,3,1,576.0,7
5,5,3,2,568.0,7
6,6,3,3,555.0,7
7,7,3,4,546.0,7
8,8,4,4,537.0,7
9,9,4,5,532.0,7
10,10,4,6,519.0,7
11,11,5,6,499.0,7
12,12,5,7,489.0,7
13,13,5,8,465.0,7
14,14,5,9,443.0,7
15,15,6,9,432.0,7
16,16,6,10,425.0,7
17,17,7,10,420.0,7
18,18,7,11,408.0,7
19,19,8,11,405.0,7
20,20,9,11,397.0,7
21,21,9,12,388.0,7
22,22,9,13,381.0,7
23,23,10,13,377.0,7
24,24,10,14,358.0,7
25,25,11,14,354.0,7
26,26,12,14,348.0,7
27,27,12,15,343.0,7
28,28,12,16,331.0,7
29,29,13,16,327.0,7
30,30,13,17,313.0,7
31,31,13,18,284.0,7
32,32,13,19,241.0,7
33,33,14,19,238.0,7
34,34,14,20,222.0,7
35,35,14,21,210.0,7
36,36,15,21,208.0,7
37,37,16,21,194.0,7
38,38,17,21,188.0,7
39,39,17,22,173.0,7
40,40,17,23,157.0,7
41,41,17,24,136.0,7
0,0,0,0,599.0,8
1,1,0,1,585.0,8
2,2,0,2,568.0,8
3,3,1,2,557.0,8
4,4,1,3,553.0,8
5,5,1,4,539.0,8
6,6,1,5,529.0,8
7,7,1,6,516.0,8
8,8,2,6,510.0,8
9,9,3,6,503.0,8
10,10,3,7,486.0,8
11,11,4,7,475.0,8
12,12,4,8,464.0,8
13,13,4,9,446.0,8
14,14,4,10,421.0,8
15,15,4,11,406.0,8
16,16,4,12,385.0,8
17,17,4,13,379.0,8
18,18,5,13,370.0,8
19,19,5,14,359.0,8
20,20,6,14,352.0,8
