,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
12,0,0,0,,12,Tx3y1,0,12,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,486.0,1
13,0,0,0,,13,Tx3y1,0,13,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,476.0,1
14,0,0,0,,14,Tx3y1,0,14,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,469.0,1
15,0,0,0,,15,Tx3y1;Tx1y3,0,15,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y1,460.0,1
16,0,0,0,,16,Tx3y1;Tx1y3,0,16,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,452.0,1
17,0,0,0,,17,Tx3y1;Tx1y3,0,17,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,441.0,1
18,0,0,0,,18,Tx3y1;Tx1y3,0,18,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y3;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,432.0,1
19,0,0,0,,19,Tx3y1;Tx1y3,0,19,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,423.0,1
20,0,0,0,,20,Tx3y1;Tx1y3,0,20,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,414.0,1
21,0,0,0,,21,Tx3y1;Tx1y3,0,21,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4;Tx1y1,403.0,1
22,0,0,0,,22,Tx3y1;Tx1y3,0,22,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y2;Tx1y3;Tx1y4;Tx1y1,384.0,1
23,0,0,0,,23,Tx3y1;Tx1y3,0,23,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,376.0,1
24,0,0,0,,24,Tx3y1;Tx1y3,0,24,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,357.0,1
25,0,0,0,,25,Tx3y1;Tx1y3,0,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,338.0,1
0,0,0,0,,0,,0,0,,599.0,2
1,0,0,0,,1,,0,1,Tx0y1,593.0,2
2,0,0,0,,2,,0,2,Tx0y0;Tx0y1,585.0,2
3,0,0,0,,3,,0,3,Tx0y0;Tx1y0;Tx0y1,575.0,2
4,0,0,0,,4,,0,4,Tx0y0;Tx1y0;Tx0y1;Tx1y1,567.0,2
5,0,0,0,,5,,0,5,Tx2y1;Tx0y0;Tx1y0;Tx0y1;Tx1y1,559.0,2
6,0,0,0,,6,,0,6,Tx2y1;Tx0y0;Tx1y0;Tx0y1;Tx2y2;Tx1y1,551.0,2
7,0,0,0,,7,Tx3y1,0,7,Tx2y1;Tx0y0;Tx1y0;Tx0y1;Tx2y2;Tx3y1;Tx1y1,541.0,2
