,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,25,15,2,0,,2,Tx1y3;Tx3y1,10,18,Tx0y3;Tx0y2;Tx0y1;Tx4y0;Tx2y3;Tx3y4;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx4y4;Tx2y0;Tx4y1;Tx2y2,13
index,20,10,2,0,,2,Tx3y1;Tx1y3,10,19,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx3y0,14
index,24,14,2,0,,2,Tx3y1;Tx1y3,10,19,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx4y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4,15
index,23,13,2,0,,2,Tx3y1;Tx1y3,10,21,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx4y4;Tx2y0;Tx4y2;Tx1y3;Tx1y4,16
index,20,10,2,0,,2,Tx3y1;Tx1y3,10,17,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx3y1;Tx0y3;Tx1y2;Tx3y0;Tx2y1;Tx1y0;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y1;Tx4y0;Tx2y2,17
index,25,15,2,0,,2,Tx3y1;Tx1y3,10,18,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y4;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4,18
index,24,14,1,0,,1,Tx3y1,10,20,Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1;Tx4y0,19
index,23,13,2,0,,2,Tx1y3;Tx3y1,10,23,Tx0y0;Tx0y2;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx1y4;Tx1y1,20
index,21,11,1,0,,1,Tx3y1,10,17,Tx0y2;Tx0y1;Tx4y1;Tx4y3;Tx4y0;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx1y0;Tx2y1;Tx4y4;Tx2y0;Tx4y2;Tx1y1,21
index,23,13,2,0,,2,Tx3y1;Tx1y3,10,18,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx1y0;Tx2y0;Tx4y3;Tx1y4;Tx3y0,22
index,21,11,2,0,,2,Tx3y1;Tx1y3,10,17,Tx0y3;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y4,23
index,25,15,2,0,,2,Tx3y1;Tx1y3,10,17,Tx0y3;Tx0y2;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx1y0;Tx4y0;Tx0y4;Tx2y0;Tx1y3,24
,,,,,,,,,18.36,,
