,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,23,13,2,0,,2,Tx3y1;Tx1y3,10,19,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx1y3;Tx3y0;Tx2y1;Tx1y0;Tx1y2;Tx3y4;Tx4y4;Tx2y0;Tx4y1;Tx1y1,0
index,23,14,1,0,,1,Tx3y1,9,18,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx3y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1,1
index,26,16,1,0,,1,Tx3y1,10,19,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx1y4;Tx1y1,2
index,17,8,1,0,,1,Tx3y1,9,13,Tx0y2;Tx4y1;Tx3y1;Tx3y2;Tx1y2;Tx3y0;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx4y0;Tx2y2,3
index,26,16,1,0,,1,Tx3y1,10,19,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx1y4;Tx1y1,4
index,21,11,2,0,,2,Tx3y1;Tx1y3,10,21,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx2y2,5
index,23,13,2,0,,2,Tx3y1;Tx1y3,10,18,Tx0y0;Tx0y3;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx1y3;Tx1y4,6
index,26,16,1,0,,1,Tx3y1,10,18,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx1y0;Tx2y0;Tx4y3;Tx1y4;Tx1y1;Tx4y0;Tx3y0,7
index,24,14,2,0,,2,Tx1y3;Tx3y1,10,19,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx4y0;Tx3y0,8
index,24,15,2,0,,2,Tx3y1;Tx1y3,9,18,Tx0y3;Tx0y2;Tx4y0;Tx2y3;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx3y1;Tx3y4;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx2y2,9
index,22,12,2,0,,2,Tx3y1;Tx1y3,10,20,Tx0y3;Tx0y2;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4,10
index,23,13,1,0,,1,Tx1y3,10,16,Tx0y3;Tx0y2;Tx4y3;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx2y4;Tx2y1;Tx0y4;Tx4y4;Tx4y1;Tx1y4,11
index,21,11,2,0,,2,Tx1y3;Tx3y1,10,17,Tx0y3;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx3y1;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx1y3;Tx1y4,12
