,DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),SurveyedGoals(#),SurveyedGoals(Positions),index
index,0,,2,Tx3y1;Tx1y3,17,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4;Tx1y1,15
index,0,,1,Tx1y3,8,Tx0y3;Tx2y3;Tx3y4;Tx1y2;Tx2y4;Tx0y4;Tx1y3;Tx1y4,15
index,0,,1,Tx1y3,13,Tx0y3;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx2y4;Tx4y2;Tx1y4,16
index,0,,0,,15,Tx0y2;Tx0y1;Tx2y2;Tx3y4;Tx3y2;Tx3y3;Tx2y4;Tx1y0;Tx1y2;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx1y4;Tx1y1,16
index,0,,0,,15,Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4,17
index,0,,3,Tx1y2;Tx3y1;Tx1y3,18,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx3y0;Tx2y1;Tx1y0;Tx1y2;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y1,17
index,0,,0,,3,Tx2y1;Tx2y2;Tx2y0,18
index,0,,1,Tx2y4,15,Tx1y0;Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx1y2;Tx3y0;Tx2y4;Tx2y1;Tx2y0;Tx1y4;Tx1y1;Tx4y0,18
index,0,,2,Tx1y3;Tx3y1,16,Tx1y0;Tx0y0;Tx0y2;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx4y2;Tx1y3;Tx1y4,19
index,0,,1,Tx3y1,15,Tx1y0;Tx0y0;Tx0y2;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx1y2;Tx4y1;Tx3y0;Tx2y1;Tx4y4;Tx2y0;Tx4y2,19
index,0,,0,,15,Tx0y0;Tx0y2;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx0y3;Tx3y3;Tx2y4;Tx1y0;Tx1y2;Tx2y1;Tx4y2;Tx1y3;Tx1y1,20
index,0,,0,,3,Tx0y0;Tx1y0;Tx1y1,20
index,0,,2,Tx3y1;Tx1y3,16,Tx0y3;Tx0y1;Tx2y3;Tx4y1;Tx2y1;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx0y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx1y3;Tx1y4,21
index,0,,2,Tx3y1;Tx1y3,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y2;Tx1y3;Tx3y3;Tx3y0;Tx2y1;Tx1y2;Tx2y0;Tx4y3;Tx1y4,21
index,0,,2,Tx3y1;Tx1y3,13,Tx0y3;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx2y0;Tx1y2;Tx3y0;Tx0y4;Tx1y3;Tx1y4,22
index,0,,2,Tx1y3;Tx3y1,17,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx3y3;Tx3y0;Tx1y2;Tx2y0;Tx4y2;Tx1y3;Tx1y4;Tx1y1,22
index,0,,2,Tx3y1;Tx1y3,15,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx0y4;Tx2y0;Tx4y3;Tx1y3;Tx1y4,23
index,0,,2,Tx1y3;Tx3y1,18,Tx0y3;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx1y4;Tx2y4;Tx2y1;Tx1y2;Tx0y4;Tx2y0;Tx4y3;Tx1y3;Tx4y2,23
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y2;Tx0y4;Tx2y0;Tx1y3,24
index,0,,0,,8,Tx0y3;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx1y2;Tx0y4,24
index,0,,1,Tx3y1,15,Tx0y0;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y0;Tx2y4;Tx1y0;Tx2y1;Tx4y4;Tx2y0;Tx4y2;Tx1y4,25
index,0,,2,Tx1y3;Tx3y1,15,Tx1y0;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx4y3;Tx1y3;Tx1y4;Tx1y1,25
