,DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),SurveyedGoals(#),SurveyedGoals(Positions),index
index,0,,0,,2,Tx1y0;Tx2y0,30
index,0,,0,,2,Tx1y0;Tx2y0,30
index,0,,0,,1,Tx2y0,30
index,0,,0,,5,Tx2y1;Tx2y2;Tx3y1;Tx3y0;Tx1y1,31
index,0,,1,Tx3y1,5,Tx2y1;Tx2y2;Tx3y1;Tx1y0;Tx1y1,31
index,0,,0,,2,Tx2y1;Tx2y2,31
index,0,,0,,4,Tx2y1;Tx2y2;Tx1y2;Tx1y1,32
index,0,,0,,2,Tx2y2;Tx1y2,32
index,0,,1,Tx1y2,3,Tx1y2;Tx1y2;Tx2y2,32
index,0,,0,,2,Tx2y3;Tx3y3,33
index,0,,0,,2,Tx0y3;Tx0y2,33
index,0,,1,Tx1y3,5,Tx1y3;Tx2y3;Tx1y2;Tx3y3;Tx1y3,33
index,0,,1,Tx1y3,6,Tx0y3;Tx2y3;Tx3y4;Tx2y4;Tx1y3;Tx1y4,34
index,0,,1,Tx1y3,6,Tx2y3;Tx3y4;Tx1y2;Tx2y4;Tx1y3;Tx1y4,34
index,0,,0,,4,Tx2y4;Tx3y4;Tx1y4;Tx1y4,34
index,0,,0,,1,Tx3y0,35
index,0,,1,Tx3y1,5,Tx2y1;Tx3y1;Tx3y0;Tx3y1;Tx3y0,35
index,0,,2,Tx3y0;Tx3y1,6,Tx2y1;Tx2y1;Tx4y1;Tx3y1;Tx3y0;Tx3y0,35
index,0,,1,Tx3y1,1,Tx3y1,36
